relname,rls_enabled,force_rls,has_organization_id,has_user_col,policies,cmds,anon_select,authenticated_grant,service_role_grant
organization_members,t,f,t,t,6,DELETE|INSERT|SELECT|UPDATE,f,f,f
organization_settings,t,f,t,f,2,ALL|SELECT,f,f,f
organizations,t,f,f,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
origin_groups,t,f,t,f,4,ALL|DELETE|INSERT|UPDATE,f,f,f
origins,t,f,t,f,4,ALL|DELETE|INSERT|UPDATE,f,f,f
ote_levels,t,f,t,f,2,ALL|SELECT,f,f,f
ote_monthly_results,t,f,t,t,2,ALL|SELECT,f,f,f
ote_multipliers,t,f,t,f,2,ALL|SELECT,f,f,f
ote_rules,t,f,t,f,2,ALL|SELECT,f,f,f
ote_sales_record_items,t,f,t,f,2,ALL|SELECT,f,f,f
ote_sales_records,t,f,t,f,2,ALL|SELECT,f,f,f
ote_score_minimums,t,f,t,f,2,ALL|SELECT,f,f,f
ote_seller_config,t,f,t,t,2,ALL|SELECT,f,f,f
outbound_tasks,t,f,t,t,2,SELECT|UPDATE,f,f,f
outreach_performance,t,f,t,f,1,SELECT,f,f,f
owner_queue,t,f,t,t,2,ALL|SELECT,f,f,f
pending_release_changes,t,f,f,f,3,INSERT|SELECT|UPDATE,f,f,f
performance_activities,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
performance_gates,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
performance_insights,t,f,t,f,3,DELETE|INSERT|SELECT,f,f,f
performance_metrics_log,t,f,f,f,2,INSERT|SELECT,f,f,f
permission_sets,t,f,t,f,2,ALL|SELECT,f,f,f
pipelines,t,f,t,f,4,ALL|DELETE|INSERT|UPDATE,f,f,f
plan_entitlements,t,f,f,f,1,SELECT,f,f,f
plans,t,f,f,f,1,SELECT,f,f,f
platform_admins,t,f,f,t,4,ALL|SELECT,f,f,f
playbook_executions,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
playbook_runs,t,f,t,f,1,ALL,f,f,f
playbook_versions,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
plg_events,t,f,t,t,2,INSERT|SELECT,f,f,f
plg_score_config,t,f,t,f,2,ALL|SELECT,f,f,f
plg_score_history,t,f,t,f,2,INSERT|SELECT,f,f,f
product_bom_items,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
product_categories,t,f,t,f,2,ALL|DELETE,f,f,f
product_inventory_requirements,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
product_price_history,t,f,t,f,2,INSERT|SELECT,f,f,f
products,t,f,t,f,4,ALL|DELETE|INSERT|UPDATE,f,f,f
profiles,t,f,t,t,7,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_ai_insights_cache,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
proposal_alerts,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
proposal_dynamic_pricing_events,t,f,t,f,2,INSERT|SELECT,f,f,f
proposal_dynamic_pricing_factor_rules,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
proposal_dynamic_pricing_rules,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_dynamic_pricing_tiers,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_erp_sync_logs,t,f,t,f,2,INSERT|SELECT,f,f,f
proposal_financial_audit_items,t,f,t,f,1,SELECT,f,f,f
proposal_financial_audit_runs,t,f,t,f,1,SELECT,f,f,f
proposal_inventory_demand_snapshots,t,f,t,f,2,INSERT|SELECT,f,f,f
proposal_items,t,f,t,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_layout_pages,t,f,f,f,3,ALL|SELECT,f,f,f
proposal_layouts,t,f,t,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_participants,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_payment_events,t,f,t,f,2,INSERT|SELECT,f,f,f
proposal_payment_intents,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_payment_terms,t,f,t,f,7,DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_templates,t,f,t,f,5,ALL|DELETE|INSERT|SELECT|UPDATE,f,f,f
proposal_view_events,t,f,f,f,2,INSERT|SELECT,f,f,f
proposal_view_logs,t,f,t,f,2,INSERT|SELECT,f,f,f
proposal_views,t,f,f,f,2,INSERT|SELECT,f,f,f
proposals,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
prospect_scores,t,f,t,f,1,ALL,f,f,f
prospect_signals,t,f,t,f,1,ALL,f,f,f
prospects,t,f,t,f,1,ALL,f,f,f
public_form_submissions,t,f,t,f,2,INSERT|SELECT,f,f,f
qualification_automations,t,f,t,f,1,ALL,f,f,f
qualification_blocking_rules,t,f,t,f,1,ALL,f,f,f
qualification_criteria,t,f,t,f,1,ALL,f,f,f
qualification_criterion_fields,t,f,t,f,1,ALL,f,f,f
qualification_disqualification_reasons,t,f,t,f,1,ALL,f,f,f
qualification_framework_audit_log,t,f,t,f,2,INSERT|SELECT,f,f,f
qualification_frameworks,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
